,review_10,review_9or10,review_scores_value,superhost,host_days,host_days,response_rate,host_listings_count,host_verifications,host_pic,id_verified,neighbourhood_cleansed,borough,property_type,room_type,accommodates,bathrooms,bedrooms,beds,real_bed,amenities,price,sec_dep,cleaning_fee,extra_people,guests_included,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,business_travel_ready,cancellation_policy,lat,lon,galleries,rats
35,0,1,9,0,1699.0,1699.0,100,1.0,6,1,0,Sunset Park,Brooklyn,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,6,72,350.0,0.0,0,1,3,14,3,0,0,strict_14_with_grace_period,40.6494,-74.00967,1,833
36,0,1,9,0,845.0,845.0,90,2.0,8,1,0,Harlem,Manhattan,Apartment,Private room,2,1.0,1.0,1.0,1,20,85,0.0,10.0,20,1,2,30,30,1,0,strict_14_with_grace_period,40.82198,-73.95771,3,9233
37,0,1,9,0,1353.0,1353.0,99,159.0,5,1,1,Midtown,Manhattan,Serviced apartment,Entire home/apt,6,2.0,2.0,2.0,1,45,672,100.0,99.0,0,1,2,1125,4,1,0,strict_14_with_grace_period,40.75174,-73.97213,8,332
38,0,1,9,0,847.0,847.0,90,2.0,6,1,0,Hell's Kitchen,Manhattan,Apartment,Private room,2,1.0,1.0,1.0,1,27,100,250.0,100.0,30,1,7,1125,37,1,0,strict_14_with_grace_period,40.75714,-73.99643,12,642
39,1,1,10,1,909.0,909.0,100,7.0,7,1,0,Bedford-Stuyvesant,Brooklyn,Apartment,Entire home/apt,8,2.0,3.0,3.0,1,39,165,200.0,110.0,15,5,3,1123,87,1,0,strict_14_with_grace_period,40.6938,-73.94836,1,16550
40,1,1,10,1,1872.0,1872.0,100,0.0,5,1,1,Harlem,Manhattan,Apartment,Private room,2,1.0,1.0,1.0,1,27,90,0.0,50.0,30,2,2,1125,76,1,0,strict_14_with_grace_period,40.80666,-73.95703,2,5215
41,1,1,10,0,1649.0,1649.0,100,4.0,11,1,1,East Village,Manhattan,Apartment,Private room,1,1.0,1.0,1.0,1,37,144,0.0,0.0,60,1,4,20,20,1,0,strict_14_with_grace_period,40.72564,-73.98682,19,6868
42,0,1,9,1,3571.0,3571.0,100,4.0,5,1,0,Forest Hills,Queens,Guest suite,Entire home/apt,2,1.0,2.0,2.0,1,33,60,300.0,50.0,10,1,4,90,113,1,0,strict_14_with_grace_period,40.71089,-73.85384,2,935
43,0,1,9,1,2187.0,2187.0,100,1.0,9,1,0,Hell's Kitchen,Manhattan,Guest suite,Entire home/apt,2,1.0,0.0,1.0,1,46,200,449.0,69.0,0,1,3,1124,120,1,0,strict_14_with_grace_period,40.76557,-73.98949,49,2613
44,1,1,10,0,2175.0,2175.0,100,1.0,7,1,0,Harlem,Manhattan,Apartment,Private room,1,1.0,1.0,1.0,1,10,90,0.0,25.0,0,1,3,1125,8,0,0,strict_14_with_grace_period,40.80231,-73.9565,2,5215
45,1,1,10,0,843.0,843.0,0,1.0,8,1,0,Forest Hills,Queens,Apartment,Private room,2,1.0,1.0,1.0,1,15,65,150.0,20.0,25,2,1,1125,17,1,0,flexible,40.71677,-73.83398,2,935
46,1,1,10,0,961.0,961.0,100,6.0,5,1,0,Hell's Kitchen,Manhattan,Apartment,Private room,2,1.0,1.0,1.0,1,24,120,0.0,75.0,0,1,1,1125,136,1,0,strict_14_with_grace_period,40.76093,-73.99103,4,2527
47,0,1,9,0,1283.0,1283.0,100,1.0,8,1,0,Hell's Kitchen,Manhattan,Apartment,Entire home/apt,6,1.0,2.0,4.0,1,30,226,300.0,100.0,50,5,2,1125,87,1,0,strict_14_with_grace_period,40.76163,-73.99008,4,2527
48,1,1,10,0,1941.0,1941.0,100,2.0,7,1,1,Astoria,Queens,Apartment,Entire home/apt,3,1.0,0.0,2.0,1,11,106,0.0,30.0,20,2,4,19,1,0,0,strict_14_with_grace_period,40.76255,-73.92347,1,1499
49,1,1,10,0,842.0,842.0,100,1.0,3,1,0,Bushwick,Brooklyn,Apartment,Private room,2,1.0,1.0,1.0,1,43,40,0.0,15.0,15,1,5,30,59,0,0,moderate,40.70008,-73.92133,1,18953
50,0,0,8,0,841.0,841.0,100,8.0,6,1,0,Bushwick,Brooklyn,House,Shared room,2,3.5,1.0,2.0,1,22,34,0.0,40.0,38,1,30,1125,3,0,0,strict_14_with_grace_period,40.69349,-73.91173,3,22526
51,1,1,10,1,3017.0,3017.0,100,1.0,7,1,1,Harlem,Manhattan,Apartment,Private room,2,2.0,1.0,1.0,1,27,125,500.0,35.0,0,2,3,30,39,1,0,moderate,40.81065,-73.9457,4,8624
52,1,1,10,1,842.0,842.0,100,1.0,8,1,0,East New York,Brooklyn,Apartment,Entire home/apt,4,1.0,1.0,2.0,1,37,65,0.0,50.0,30,2,2,180,62,1,0,moderate,40.67585,-73.87307,1,3213
53,0,1,9,0,1068.0,1068.0,91,1.0,6,1,0,Upper West Side,Manhattan,Apartment,Private room,2,1.0,1.0,1.0,1,17,77,0.0,70.0,40,1,1,20,69,1,0,strict_14_with_grace_period,40.79738,-73.96332,4,10087
54,0,1,9,0,2148.0,2148.0,100,1.0,7,1,0,Williamsburg,Brooklyn,Apartment,Private room,2,1.0,1.0,1.0,1,24,89,0.0,39.0,19,1,3,30,70,0,0,moderate,40.70994,-73.94867,12,8434
55,0,1,9,0,2733.0,2733.0,100,1.0,8,1,0,Crown Heights,Brooklyn,Apartment,Entire home/apt,4,1.0,1.0,2.0,1,34,105,350.0,90.0,0,1,2,1125,70,1,0,strict_14_with_grace_period,40.66543,-73.95439,2,3552
